iter	Passed	Remaining
427	1883	2517
428	1885	2509
429	1886	2500
430	1893	2500
431	1895	2491
432	1896	2483
433	1898	2475
434	1900	2467
435	1901	2459
436	1908	2459
437	1934	2481
438	1941	2480
439	1943	2474
440	1949	2471
441	1956	2470
442	1959	2463
443	1960	2455
444	1962	2447
445	1964	2440
446	1969	2436
447	1971	2429
448	1975	2424
449	1979	2419
450	2019	2457
451	2020	2450
452	2026	2446
453	2027	2438
454	2029	2430
455	2031	2423
456	2033	2415
457	2034	2407
458	2036	2400
459	2038	2393
460	2044	2390
461	2046	2382
462	2047	2374
463	2049	2367
464	2051	2359
465	2053	2352
466	2056	2347
467	2060	2342
468	2081	2356
469	2082	2348
470	2084	2341
471	2086	2333
472	2091	2330
473	2093	2322
474	2094	2315
475	2096	2307
476	2098	2301
477	2100	2293
478	2105	2290
479	2107	2283
480	2108	2275
481	2110	2268
482	2112	2260
483	2113	2253
484	2115	2246
485	2131	2254
486	2133	2247
487	2139	2244
488	2140	2237
489	2142	2229
490	2144	2222
491	2145	2215
492	2147	2208
493	2153	2206
494	2155	2198
495	2156	2191
496	2158	2184
497	2160	2177
498	2164	2172
499	2170	2170
500	2172	2163
501	2187	2170
502	2189	2163
503	2191	2156
504	2193	2149
505	2194	2142
506	2196	2136
507	2202	2132
508	2203	2125
509	2205	2118
510	2207	2112
511	2209	2105
512	2211	2099
513	2216	2095
514	2218	2088
515	2219	2081
516	2221	2075
517	2289	2130
518	2291	2123
519	2292	2116
520	2296	2111
521	2298	2105
522	2301	2099
523	2303	2092
524	2304	2085
525	2320	2091
526	2385	2140
527	2386	2133
528	2388	2126
529	2389	2119
530	2394	2114
531	2396	2108
532	2398	2101
533	2399	2094
534	2401	2087
535	2406	2083
536	2411	2079
537	2413	2072
538	2416	2066
539	2418	2059
540	2421	2054
541	2467	2085
542	2470	2079
543	2475	2075
544	2478	2069
545	2480	2062
546	2483	2056
547	2485	2049
548	2486	2042
549	2490	2037
550	2491	2030
551	2493	2023
552	2495	2017
553	2497	2010
554	2498	2003
555	2500	1996
556	2507	1994
557	2533	2006
558	2535	2000
559	2543	1998
560	2546	1992
561	2552	1989
562	2554	1982
563	2555	1975
564	2557	1969
565	2559	1962
566	2561	1955
567	2563	1949
568	2569	1946
569	2572	1940
570	2575	1934
